비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익,자본금
21710875000000.0,33986396000000.0,9277848000000.0,4707821000000.0,13985669000000.0,16130840000000.0,20000727000000.0,32699936000000.0,2294966000000.0,3016428000000.0,2507747000000.0,2507747000000.0,2015,Q4,,
22838358000000.0,36239539000000.0,10727140000000.0,4096026000000.0,14823166000000.0,,21416373000000.0,7806454000000.0,639335000000.0,1308067000000.0,1160849000000.0,1160849000000.0,2016,Q1,,
23203453000000.0,35925807000000.0,9110810000000.0,5054880000000.0,14165690000000.0,,21760117000000.0,8347585000000.0,601346000000.0,628184000000.0,483101000000.0,483101000000.0,2016,Q2,,
23138271000000.0,34182277000000.0,7316832000000.0,4889007000000.0,12205839000000.0,,21976438000000.0,6703963000000.0,185658000000.0,270355000000.0,227338000000.0,227338000000.0,2016,Q3,,
22774359000000.0,36179511000000.0,9654996000000.0,4904394000000.0,14559390000000.0,17860267000000.0,21620121000000.0,8783852000000.0,520700000000.0,246222000000.0,200192000000.0,200192000000.0,2016,Q4,,
22958543000000.0,38275015000000.0,10256428000000.0,5213570000000.0,15469998000000.0,,22805017000000.0,8048992000000.0,486838000000.0,983128000000.0,813803000000.0,813803000000.0,2017,Q1,,
22943160000000.0,37750573000000.0,9500937000000.0,5063494000000.0,14564431000000.0,,23186142000000.0,8073055000000.0,379560000000.0,501299000000.0,384318000000.0,384318000000.0,2017,Q2,,
23333741000000.0,38912353000000.0,10050148000000.0,6104996000000.0,16155144000000.0,19017307000000.0,22757209000000.0,8400413000000.0,-540448000000.0,-616905000000.0,-430495000000.0,-430495000000.0,2017,Q3,,
23356827000000.0,38605013000000.0,9123635000000.0,7344054000000.0,16467689000000.0,18396715000000.0,22137324000000.0,7587423000000.0,276659000000.0,253276000000.0,159426000000.0,159426000000.0,2017,Q4,,
23812279000000.0,38452252000000.0,8535018000000.0,6908391000000.0,15443409000000.0,19324863000000.0,23008843000000.0,7161352000000.0,15385000000.0,288602000000.0,268527000000.0,268527000000.0,2018,Q1,,
24034462000000.0,37917129000000.0,7765108000000.0,7098906000000.0,14864014000000.0,19421285000000.0,23053115000000.0,8404540000000.0,234846000000.0,149341000000.0,117236000000.0,117236000000.0,2018,Q2,,
