비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익,영업비용,이자비용
7875416000000.0,8208765000000.0,134819000000.0,143511000000.0,278330000000.0,4620921000000.0,7930435000000.0,574117000000.0,394822000000.0,400562000000.0,345915000000.0,345915000000.0,2015,Q4,,,,
7876257000000.0,8518114000000.0,388004000000.0,143861000000.0,531865000000.0,4675872000000.0,7986249000000.0,346465000000.0,304651000000.0,305806000000.0,283616000000.0,283616000000.0,2016,Q1,,,,
7875267000000.0,8296302000000.0,133260000000.0,150680000000.0,283940000000.0,4702037000000.0,8012362000000.0,84727000000.0,32580000000.0,34614000000.0,26171000000.0,26171000000.0,2016,Q2,,,,
8087661000000.0,8325480000000.0,131942000000.0,154790000000.0,286732000000.0,4731327000000.0,8038748000000.0,87123000000.0,39145000000.0,38810000000.0,29349000000.0,29349000000.0,2016,Q3,,,,
8009287000000.0,8360422000000.0,135045000000.0,189764000000.0,324809000000.0,4729281000000.0,8035613000000.0,95688000000.0,47749000000.0,51744000000.0,1022000000.0,1022000000.0,2016,Q4,,,,
8114482000000.0,9052574000000.0,490174000000.0,168464000000.0,658638000000.0,5083680000000.0,8393936000000.0,408826000000.0,362109000000.0,621009000000.0,583086000000.0,583086000000.0,2017,Q1,,,,
8241498000000.0,8850151000000.0,249677000000.0,172759000000.0,422436000000.0,5112986000000.0,8427715000000.0,98892000000.0,35938000000.0,38769000000.0,29315000000.0,29315000000.0,2017,Q2,,,,
8233956000000.0,9180135000000.0,257831000000.0,175020000000.0,432851000000.0,5433445000000.0,8747284000000.0,98427000000.0,47098000000.0,422941000000.0,320526000000.0,320526000000.0,2017,Q3,879359000000.0,,,
8518580000000.0,9238893000000.0,280068000000.0,177483000000.0,457551000000.0,5454267000000.0,8781342000000.0,108700000000.0,50855000000.0,36340000000.0,19827000000.0,19827000000.0,2017,Q4,879359000000.0,,,
8528068000000.0,9687787000000.0,548242000000.0,177397000000.0,725639000000.0,5637009000000.0,8962148000000.0,461548000000.0,413611000000.0,452563000000.0,411453000000.0,411453000000.0,2018,Q1,879359000000.0,,,
8529870000000.0,9350213000000.0,183343000000.0,168614000000.0,351957000000.0,5668356000000.0,8998256000000.0,93699000000.0,38033000000.0,41768000000.0,31376000000.0,31376000000.0,2018,Q2,879359000000.0,,,
8952503000000.0,9363528000000.0,161935000000.0,164309000000.0,326244000000.0,5705239000000.0,9037284000000.0,98249000000.0,47279000000.0,48759000000.0,37008000000.0,37008000000.0,2018,Q3,879359000000.0,,,
8930024000000.0,9327642000000.0,145653000000.0,83248000000.0,228901000000.0,5776908000000.0,9098741000000.0,103700000000.0,47379000000.0,10870000000.0,72825000000.0,72825000000.0,2018,Q4,879359000000.0,,,
8928284000000.0,9855180000000.0,524570000000.0,83333000000.0,607903000000.0,5926229000000.0,9247277000000.0,571101000000.0,523018000000.0,524954000000.0,501035000000.0,501035000000.0,2019,Q1,879359000000.0,,,
9064486000000.0,9516375000000.0,157570000000.0,82750000000.0,240320000000.0,5953437000000.0,9276055000000.0,98267000000.0,32669000000.0,34792000000.0,27231000000.0,27231000000.0,2019,Q2,879359000000.0,,,
8887354000000.0,9554851000000.0,159239000000.0,85951000000.0,245190000000.0,5988273000000.0,9309661000000.0,101076000000.0,49357000000.0,46143000000.0,34909000000.0,34909000000.0,2019,Q3,879359000000.0,,,
8751902000000.0,9577961000000.0,156049000000.0,95167000000.0,251216000000.0,6003695000000.0,9326745000000.0,104228000000.0,38751000000.0,51431000000.0,17986000000.0,17986000000.0,2019,Q4,879359000000.0,,,
8732876000000.0,10246179000000.0,555262000000.0,87393000000.0,642655000000.0,6290989000000.0,9603524000000.0,744959000000.0,696115000000.0,699156000000.0,674160000000.0,674160000000.0,2020,Q1,879359000000.0,,,
8826532000000.0,10765910000000.0,421221000000.0,93355000000.0,514576000000.0,6931789000000.0,10251334000000.0,95884000000.0,34828000000.0,896224000000.0,640791000000.0,640791000000.0,2020,Q2,879359000000.0,,,
8809368000000.0,10692921000000.0,296800000000.0,96616000000.0,393416000000.0,6975461000000.0,10299505000000.0,104010000000.0,52756000000.0,57785000000.0,43683000000.0,43683000000.0,2020,Q3,879359000000.0,,,
8024559000000.0,10570840000000.0,178795000000.0,122248000000.0,301043000000.0,6947881000000.0,10269797000000.0,71349000000.0,10324000000.0,-61706000000.0,-27283000000.0,-27283000000.0,2020,Q4,879359000000.0,,,
8017936000000.0,11153477000000.0,2298141000000.0,120579000000.0,2418720000000.0,7070910000000.0,8734757000000.0,596959000000.0,547856000000.0,566933000000.0,562653000000.0,562653000000.0,2021,Q1,879359000000.0,,,
8010967000000.0,9816652000000.0,174149000000.0,121127000000.0,295276000000.0,7843529000000.0,9521376000000.0,114448000000.0,48930000000.0,55336000000.0,772634000000.0,772634000000.0,2021,Q2,801613000000.0,,,
8112939000000.0,9882833000000.0,143302000000.0,128594000000.0,271896000000.0,7927440000000.0,9610937000000.0,151398000000.0,99356000000.0,103353000000.0,83940000000.0,83940000000.0,2021,Q3,801613000000.0,,,
7877300000000.0,9708699000000.0,179868000000.0,118574000000.0,298442000000.0,7740618000000.0,9410257000000.0,126955000000.0,44231000000.0,-173306000000.0,-185215000000.0,-185215000000.0,2021,Q4,801613000000.0,,,
7855548000000.0,10261684000000.0,601625000000.0,135495000000.0,737120000000.0,7850893000000.0,9524564000000.0,644232000000.0,594297000000.0,602397000000.0,568494000000.0,568494000000.0,2022,Q1,801613000000.0,,,
8295514000000.0,9822683000000.0,193069000000.0,120371000000.0,313440000000.0,7896065000000.0,9509243000000.0,121242000000.0,53843000000.0,62882000000.0,41754000000.0,41754000000.0,2022,Q2,801613000000.0,,,
8217139000000.0,9814872000000.0,177048000000.0,123411000000.0,300459000000.0,7994941000000.0,9514413000000.0,169119000000.0,110536000000.0,119836000000.0,97024000000.0,97024000000.0,2022,Q3,801613000000.0,,,
8233698000000.0,9903973000000.0,191677000000.0,171882000000.0,363559000000.0,8019857000000.0,9540414000000.0,132932000000.0,62769000000.0,122926000000.0,30089000000.0,30089000000.0,2022,Q4,801613000000.0,,,
8208210000000.0,10410029000000.0,669965000000.0,170254000000.0,840219000000.0,8092381000000.0,9569810000000.0,619581000000.0,564434000000.0,582499000000.0,547262000000.0,547262000000.0,2023,Q1,801613000000.0,,,
8192216000000.0,9949130000000.0,202894000000.0,166159000000.0,369053000000.0,8138095000000.0,9580077000000.0,120908000000.0,47133000000.0,64700000000.0,45654000000.0,45654000000.0,2023,Q2,801613000000.0,,,
8249470000000.0,9971819000000.0,198952000000.0,168548000000.0,367500000000.0,8225972000000.0,9604319000000.0,159524000000.0,87348000000.0,105936000000.0,,,2023,Q3,801613000000.0,95360000000.0,72176000000.0,
8252048000000.0,10000583000000.0,219047000000.0,164853000000.0,383900000000.0,8265975000000.0,9616683000000.0,130573000000.0,52460000000.0,51122000000.0,125458000000.0,125458000000.0,2023,Q4,801613000000.0,636010000000.0,207035000000.0,520000000.0
8246509000000.0,10384476000000.0,723041000000.0,163457000000.0,886498000000.0,8188630000000.0,9497978000000.0,481546000000.0,428263000000.0,444519000000.0,406425000000.0,406425000000.0,2024,Q1,801613000000.0,419448000000.0,53283000000.0,406425000000.0
8483610000000.0,9906235000000.0,212083000000.0,182380000000.0,394463000000.0,8234569000000.0,9511772000000.0,123309000000.0,47658000000.0,61991000000.0,45953000000.0,45953000000.0,2024,Q2,801613000000.0,111060000000.0,75651000000.0,45953000000.0
8444684000000.0,9992691000000.0,223642000000.0,170771000000.0,394413000000.0,8351433000000.0,9598278000000.0,194753000000.0,125445000000.0,139396000000.0,116906000000.0,116906000000.0,2024,Q3,801613000000.0,86506000000.0,69308000000.0,116906000000.0
