비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,연도,분기,당기순이익,당기순이익(손실),자본금,총포괄손익
44879849000000.0,66978224000000.0,12173086000000.0,5402092000000.0,17575178000000.0,45112080000000.0,49403046000000.0,44439694000000.0,4267256000000.0,6680063000000.0,2015,Q4,,,,
44836108000000.0,67450120000000.0,11172772000000.0,5615205000000.0,16787977000000.0,46534754000000.0,50662143000000.0,11542128000000.0,11542128000000.0,11542128000000.0,2016,Q1,11542128000000.0,11542128000000.0,,
44844895000000.0,67753162000000.0,10319710000000.0,5490605000000.0,15810315000000.0,47907719000000.0,51942847000000.0,11542128000000.0,1102940000000.0,1708001000000.0,2016,Q2,1372965000000.0,1372965000000.0,,
44889781000000.0,65703755000000.0,8335107000000.0,5347966000000.0,13683073000000.0,47815899000000.0,52020682000000.0,7996646000000.0,23867000000.0,208598000000.0,2016,Q3,,,,
45562266000000.0,69737669000000.0,11209671000000.0,6242005000000.0,17451676000000.0,48111726000000.0,52285993000000.0,10632730000000.0,-9969453000000.0,-8515483000000.0,2016,Q4,,,,
45728560000000.0,69709275000000.0,10851839000000.0,6104260000000.0,16956099000000.0,48561967000000.0,52753176000000.0,10317549000000.0,758908000000.0,1207696000000.0,2017,Q1,967374000000.0,967374000000.0,,
46084817000000.0,70594267000000.0,10910697000000.0,5941100000000.0,16851797000000.0,49236467000000.0,53742470000000.0,11726321000000.0,1055269000000.0,868433000000.0,2017,Q2,674500000000.0,674500000000.0,,
46713524000000.0,69804255000000.0,9514322000000.0,5947138000000.0,15461460000000.0,49952254000000.0,54342795000000.0,9742388000000.0,341581000000.0,1056770000000.0,2017,Q3,984441000000.0,984441000000.0,1488993000000.0,
46775829000000.0,70075274000000.0,10360637000000.0,5783937000000.0,16144574000000.0,49591840000000.0,53930700000000.0,9818611000000.0,7689000000.0,-55839000000.0,2017,Q4,,,1488993000000.0,
46818532000000.0,69903098000000.0,10914902000000.0,5157419000000.0,16072321000000.0,49795875000000.0,53830777000000.0,9672471000000.0,185324000000.0,487712000000.0,2018,Q1,,,1488993000000.0,
46688711000000.0,69954118000000.0,10618646000000.0,5315767000000.0,15934413000000.0,50461087000000.0,54019705000000.0,10987295000000.0,304421000000.0,862111000000.0,2018,Q2,,,1488993000000.0,
47041024000000.0,69003201000000.0,9732907000000.0,5667984000000.0,15400891000000.0,49019740000000.0,53602310000000.0,10085005000000.0,-461819000000.0,-336761000000.0,2018,Q3,-235859000000.0,-235859000000.0,1488993000000.0,
47083668000000.0,69408737000000.0,12737313000000.0,4429408000000.0,17166721000000.0,47803780000000.0,52242016000000.0,12415337000000.0,-87248000000.0,-303114000000.0,2018,Q4,610747000000.0,610747000000.0,1488993000000.0,
47994597000000.0,70067950000000.0,13080655000000.0,4661080000000.0,17741735000000.0,48132067000000.0,52326215000000.0,11276932000000.0,235271000000.0,902734000000.0,2019,Q1,794849000000.0,794849000000.0,1488993000000.0,
48295638000000.0,72224829000000.0,14195159000000.0,4668572000000.0,18863731000000.0,49148003000000.0,53361098000000.0,12952915000000.0,673872000000.0,1253852000000.0,2019,Q2,1017689000000.0,1017689000000.0,1488993000000.0,
49616050000000.0,71244763000000.0,12933355000000.0,4743336000000.0,17676691000000.0,49375772000000.0,53568072000000.0,11334037000000.0,12174000000.0,324758000000.0,2019,Q3,490799000000.0,490799000000.0,1488993000000.0,
51412033000000.0,73758825000000.0,15148868000000.0,5089342000000.0,20238210000000.0,49471930000000.0,53520615000000.0,13591809000000.0,658847000000.0,708549000000.0,2019,Q4,464329000000.0,464329000000.0,1488993000000.0,
52605608000000.0,73446360000000.0,15409856000000.0,4860296000000.0,20270152000000.0,49694208000000.0,53176208000000.0,11274965000000.0,399673000000.0,705277000000.0,2020,Q1,614159000000.0,614159000000.0,1488993000000.0,
53002258000000.0,74466283000000.0,14648064000000.0,6046491000000.0,20694555000000.0,50171398000000.0,53771728000000.0,12131110000000.0,651424000000.0,646633000000.0,2020,Q2,482965000000.0,482965000000.0,1488993000000.0,
53652949000000.0,76622608000000.0,16009664000000.0,6988242000000.0,22997906000000.0,49925195000000.0,53624702000000.0,12681923000000.0,-326496000000.0,-380040000000.0,2020,Q3,-246203000000.0,-246203000000.0,1488993000000.0,
53640185000000.0,78252289000000.0,17709438000000.0,7354342000000.0,25063780000000.0,49232719000000.0,53188509000000.0,14573004000000.0,44025000000.0,-445027000000.0,2020,Q4,-323946000000.0,-323946000000.0,1488993000000.0,
54741237000000.0,79421458000000.0,17530913000000.0,8131472000000.0,25662385000000.0,49726434000000.0,53759073000000.0,13377732000000.0,538200000000.0,1016338000000.0,2021,Q1,866109000000.0,866109000000.0,1488993000000.0,
56069736000000.0,80480341000000.0,17869084000000.0,7808445000000.0,25677529000000.0,50752282000000.0,54802812000000.0,14527319000000.0,388592000000.0,1038194000000.0,2021,Q2,954584000000.0,954584000000.0,1488993000000.0,
56321215000000.0,78428926000000.0,16205394000000.0,7700141000000.0,23905535000000.0,50598586000000.0,54523391000000.0,12336575000000.0,-292600000000.0,6893000000.0,2021,Q3,,,1488993000000.0,
56427807000000.0,79758300000000.0,20043791000000.0,7039497000000.0,27083288000000.0,49094270000000.0,52675012000000.0,15363494000000.0,27431000000.0,-1071578000000.0,2021,Q4,-1175167000000.0,-1175167000000.0,1488993000000.0,775156000000.0
56568104000000.0,78786456000000.0,19336425000000.0,7097501000000.0,26433926000000.0,49008948000000.0,52352530000000.0,13092688000000.0,-356326000000.0,928076000000.0,2022,Q1,955077000000.0,955077000000.0,1488993000000.0,
56703887000000.0,81049841000000.0,21916128000000.0,6545517000000.0,28461645000000.0,49537795000000.0,52588196000000.0,16276223000000.0,583064000000.0,695500000000.0,2022,Q2,528847000000.0,528847000000.0,1488993000000.0,
58364341000000.0,82141583000000.0,21905926000000.0,6923731000000.0,28829657000000.0,50281682000000.0,53311926000000.0,16459780000000.0,443398000000.0,945725000000.0,2022,Q3,826944000000.0,826944000000.0,1488993000000.0,
59593036000000.0,83412349000000.0,21443574000000.0,6212960000000.0,27656534000000.0,52028878000000.0,55755815000000.0,19479659000000.0,2158433000000.0,1606174000000.0,2022,Q4,1391090000000.0,1391090000000.0,1488993000000.0,3950212000000.0
59646660000000.0,84670224000000.0,23166461000000.0,5737382000000.0,28903843000000.0,51669193000000.0,55766381000000.0,18419852000000.0,1218398000000.0,1928203000000.0,2023,Q1,1575249000000.0,1575249000000.0,1488993000000.0,
61387985000000.0,85484784000000.0,20711825000000.0,5809261000000.0,26521086000000.0,54796539000000.0,58963698000000.0,20773227000000.0,1846886000000.0,3723515000000.0,2023,Q2,3125043000000.0,3125043000000.0,1488993000000.0,
62232201000000.0,84729938000000.0,18663163000000.0,5713994000000.0,24377157000000.0,56182722000000.0,60352781000000.0,17979144000000.0,1308495000000.0,2260148000000.0,2023,Q3,1774447000000.0,1774447000000.0,1488993000000.0,1781970000000.0
63267354000000.0,85064635000000.0,18594079000000.0,5683387000000.0,24277466000000.0,56425494000000.0,60787169000000.0,20861535000000.0,2297192000000.0,1763336000000.0,2023,Q4,868264000000.0,868264000000.0,1488993000000.0,5338777000000.0
64934548000000.0,87873770000000.0,19326101000000.0,5820714000000.0,25146815000000.0,58231340000000.0,62726955000000.0,18418828000000.0,1551568000000.0,5047551000000.0,2024,Q1,4315783000000.0,4315783000000.0,1488993000000.0,4154396000000.0
67283389000000.0,90185711000000.0,19118856000000.0,5930980000000.0,25049836000000.0,60699933000000.0,65135875000000.0,21269098000000.0,2268110000000.0,3682913000000.0,2024,Q2,2994353000000.0,2994353000000.0,1488993000000.0,2933829000000.0
68267934000000.0,89196645000000.0,16776146000000.0,5907361000000.0,22683507000000.0,61192245000000.0,66513138000000.0,18866363000000.0,1349024000000.0,1310516000000.0,2024,Q3,1018082000000.0,1018082000000.0,1488993000000.0,1424295000000.0
