비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익
11183004952357.0,14656786510207.0,2473160239921.0,1383033484073.0,3856193723994.0,356712130000.0,4867904004436.0,10800592786213.0,6680135828651.0,-204822385805.0,-227199453273.0,-141934840632.0,-141934840632.0,2015,Q4,
10169153845113.0,13962662049640.0,3006324420352.0,1219282320108.0,4225606740460.0,356712130000.0,3978045763831.0,9737055309180.0,1057776989730.0,-746514260638.0,-952933668981.0,-819544632905.0,-819544632905.0,2016,Q1,
10325742731001.0,14558882065688.0,2394447176124.0,1463061365010.0,3857508541134.0,356712130000.0,4842203622995.0,10701373524554.0,1165280626154.0,-80889089113.0,-63546669847.0,875758865181.0,875758865181.0,2016,Q2,
10466767915747.0,13939772693621.0,1955504030631.0,1382318710551.0,3337822741182.0,356712130000.0,4673731538968.0,10601949952439.0,1110379373126.0,-126192014541.0,-172038926069.0,-168472084027.0,-168472084027.0,2016,Q3,
10346825627085.0,13091334049695.0,1765267182488.0,1127984605069.0,2893251787557.0,356712130000.0,4745808046275.0,10198082262138.0,1089423777592.0,-50375079113.0,109585788742.0,67985763673.0,67985763673.0,2016,Q4,
10411482439184.0,12895793770061.0,1785510008138.0,1057675122369.0,2843185130507.0,356712130000.0,4634227508254.0,10052608639554.0,1216387764971.0,-76455551302.0,-87940410278.0,-43793026121.0,-43793026121.0,2017,Q1,
10509874687662.0,12867125083028.0,1693980448808.0,1046103098584.0,2740083547392.0,356712130000.0,4636697852852.0,10127041535636.0,1227774764547.0,-32070805464.0,-9848925571.0,2470344598.0,2470344598.0,2017,Q2,
10405119560793.0,12941814174343.0,1990781307962.0,839032063093.0,2829813371055.0,356712130000.0,4704945284813.0,10112000803288.0,1444575081717.0,32224733819.0,73462555107.0,68247431961.0,68247431961.0,2017,Q3,
10613693653851.0,13134937701171.0,1960548412569.0,887011216682.0,2847559629251.0,356712130000.0,4793558946939.0,10287378071920.0,1532651340388.0,92628910024.0,115039728458.0,72612694871.0,72612694871.0,2017,Q4,
10368706110761.0,13501259613385.0,2170217827212.0,938361337258.0,3108579164470.0,356712130000.0,5217054373157.0,10392680448915.0,1677656699001.0,15818797677.0,104394312772.0,97466800445.0,97466800445.0,2018,Q1,
10444812506184.0,13766239054671.0,2436720934723.0,902664543925.0,3339385478648.0,356712130000.0,5300687330048.0,10426853576023.0,1949845232012.0,109504324142.0,95940572521.0,83632956891.0,83632956891.0,2018,Q2,
11128480804281.0,14895575064760.0,2690314809098.0,1642192677215.0,4332507486313.0,356712130000.0,5396941557364.0,10563067578447.0,2186874524995.0,179396346821.0,131057883209.0,96254227316.0,96254227316.0,2018,Q3,
11515372588548.0,15306118083143.0,2790083713511.0,1755007765247.0,4545091478758.0,356712130000.0,5622646637967.0,10761026604385.0,2372532968210.0,245184336945.0,335356631966.0,248482932004.0,248482932004.0,2018,Q4,
11488826866960.0,14988684712408.0,2480965266617.0,1748685438355.0,4229650704972.0,356712130000.0,5623413809420.0,10759034007436.0,1936591217019.0,84415925908.0,72913200167.0,67711781253.0,67711781253.0,2019,Q1,
11472558547343.0,14943894915749.0,2347423663288.0,1752626825289.0,4100050488577.0,356712130000.0,5703999873433.0,10843844427172.0,1967121459775.0,88506967963.0,73375103398.0,80586064013.0,80586064013.0,2019,Q2,
11544776204852.0,14751131501904.0,2155343804472.0,1642973263190.0,3798317067662.0,356712130000.0,5801614293483.0,10952814434242.0,2082826009524.0,120163438351.0,126977539550.0,97614420050.0,97614420050.0,2019,Q3,
11644174973594.0,14986191799753.0,2444069128613.0,1593188371343.0,4037257499956.0,356712130000.0,5760745232244.0,10948934299797.0,2264272518618.0,-85680827363.0,-52399956554.0,-46243743774.0,-46243743774.0,2019,Q4,
11434626340341.0,14397792292415.0,2230869330026.0,1538048486703.0,3768917816729.0,356712130000.0,5655576604579.0,10628874475686.0,1895212471171.0,-50241713593.0,-66087219701.0,-38224017865.0,-38224017865.0,2020,Q1,
11539702455226.0,14827362566046.0,2411096729127.0,1567170807802.0,3978267536929.0,356712130000.0,5755981298186.0,10849095029117.0,2204571138798.0,109480366972.0,124620986879.0,100404693607.0,100404693607.0,2020,Q2,
11518287339334.0,14838956725474.0,2643414983475.0,1215395793029.0,3858810776504.0,356712130000.0,5883270380893.0,10980145948970.0,2459617730161.0,144883742847.0,132418877611.0,127289082707.0,127289082707.0,2020,Q3,
11861799385915.0,15284961777810.0,2858583593340.0,1208760468082.0,4067344061422.0,356712130000.0,5914709091746.0,11217617716388.0,2541996606508.0,27214058671.0,32341480555.0,27846284053.0,27846284053.0,2020,Q4,
11930368746335.0,15647935396579.0,3131485946399.0,1263156084445.0,4394642030844.0,356712130000.0,5935903261517.0,11253293365735.0,2512757788431.0,65914170335.0,107595486910.0,88138779571.0,88138779571.0,2021,Q1,
12193496799534.0,16245046783666.0,3232145172693.0,1363216547054.0,4595361719747.0,356712130000.0,6088331753746.0,11649685063919.0,2859060255174.0,200570042043.0,184757165329.0,152428492229.0,152428492229.0,2021,Q2,
12339150201487.0,16358185330385.0,3009500212589.0,1406364792946.0,4415865005535.0,356712130000.0,6284762352463.0,11942320324850.0,2909698525665.0,204839265613.0,242280295336.0,196430598717.0,196430598717.0,2021,Q3,
12227216859338.0,16844996871874.0,3573102960244.0,1279023728012.0,4852126688256.0,356712130000.0,6439850669615.0,11992870183618.0,3300254487384.0,116290483169.0,174818575813.0,159551972726.0,159551972726.0,2021,Q4,
12437949424072.0,17881540794031.0,4047938844424.0,1616491626327.0,5664430470751.0,356712130000.0,6581435100167.0,12217110323280.0,3539821393070.0,251139528701.0,238553620263.0,208529040352.0,208529040352.0,2022,Q1,
12381667735664.0,18496575093890.0,4574201292714.0,1684700037102.0,6258901329816.0,356712130000.0,6737207374899.0,12237673764074.0,4075323660430.0,193106370054.0,178770697533.0,155772274732.0,155772274732.0,2022,Q2,
12197234744348.0,19012557532760.0,5011598577513.0,1485785578016.0,6497384155529.0,356712130000.0,7138435482676.0,12515173377231.0,4543585807094.0,366521936336.0,529863428812.0,401228107777.0,401228107777.0,2022,Q3,
12576218902553.0,18848886743159.0,4800392273358.0,1392476430880.0,6192868704238.0,356712130000.0,7303941944466.0,12656018038921.0,5299562749596.0,200106523508.0,117502189107.0,100308784219.0,100308784219.0,2022,Q4,
12829816319280.0,19919470443409.0,5538204552884.0,1313449826323.0,6851654379207.0,356712130000.0,7596647084150.0,13067816064202.0,4759535714793.0,97386039457.0,373202850350.0,361489471596.0,361489471596.0,2023,Q1,
