비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,이익잉여금,총포괄손익
3297287991926.0,5322845313737.0,809825373490.0,446919502688.0,1256744876178.0,388003400000.0,4066100437559.0,5297402353460.0,1565394093.0,236747906935.0,118432190852.0,118432190852.0,2015,Q4,,
3310162709769.0,5273361279908.0,825956779624.0,463465281697.0,1289422061321.0,388003400000.0,3983939218587.0,1225417416914.0,-69397998116.0,-64172018428.0,-52752415733.0,-52752415733.0,2016,Q1,,
3135827416523.0,5220653244179.0,837216740908.0,400838948355.0,1238055689263.0,388003400000.0,3982597554916.0,1265321179194.0,-66746661703.0,41115810912.0,33801181861.0,33801181861.0,2016,Q2,,
3326101698690.0,5339842792407.0,879441290617.0,413251811891.0,1292693102508.0,388003400000.0,4047149689899.0,1184663893481.0,-38357360114.0,-43117911587.0,-35445774346.0,-35445774346.0,2016,Q3,,
3358534852026.0,5072566444328.0,760069869185.0,300180671245.0,1060250540430.0,388003400000.0,4012315903898.0,1014934668839.0,-75733544954.0,-37123786585.0,-9396086425.0,-9396086425.0,2016,Q4,,
3504974398568.0,5271802410859.0,977615165299.0,300020704217.0,1277635869516.0,388003400000.0,3994166541343.0,1221801366535.0,-5564876152.0,-3142509603.0,-2382022280.0,-2382022280.0,2017,Q1,,
3632865848675.0,5339044437806.0,1197534474912.0,34638980599.0,1232173455511.0,388003400000.0,4106870982295.0,1279088554749.0,-16961408690.0,33630995389.0,26433185066.0,26433185066.0,2017,Q2,,
3685322792068.0,5297059937524.0,1194772509585.0,52107117900.0,1246879627485.0,388003400000.0,4050180310039.0,1292323848545.0,5774039935.0,4968715586.0,2894103990.0,2894103990.0,2017,Q3,28170308610.0,
3574675253585.0,4943603524854.0,836355364739.0,361005190683.0,1197360555422.0,388003400000.0,3746242969432.0,1209827261964.0,-33906407922.0,-209054528858.0,-195674957076.0,-195674957076.0,2017,Q4,-215466326805.0,
3727703721191.0,5224110613332.0,1058901000244.0,381588752815.0,1440489753059.0,388003400000.0,3783620860273.0,1416991368958.0,16072678796.0,28708999958.0,20813881302.0,20813881302.0,2018,Q1,19952862755.0,
3745082752247.0,5180560759674.0,984247269633.0,399625577852.0,1383872847485.0,388003400000.0,3796687912189.0,1275617741346.0,92158385197.0,126822997714.0,102961916297.0,102961916297.0,2018,Q2,122914779052.0,
3271550777772.0,5642560761063.0,1276287665837.0,417968307988.0,1694255973825.0,388003400000.0,3948304787238.0,1581867208501.0,171165541605.0,181981555148.0,124669220748.0,124669220748.0,2018,Q3,247583999800.0,
3350273975955.0,5448882581117.0,1068908152202.0,402405269151.0,1471313421353.0,388003400000.0,3977569159764.0,1407628711203.0,118506438013.0,79247904015.0,69198298499.0,69198298499.0,2018,Q4,287732984993.0,
3432887387775.0,5500640983354.0,1167054018724.0,417380003829.0,1584434022553.0,388003400000.0,3916206960801.0,1350819652502.0,2864732186.0,4949571990.0,4235926548.0,4235926548.0,2019,Q1,9725676640.0,
3011092240627.0,5317029080685.0,908465327841.0,124994673625.0,1033460001466.0,388003400000.0,4283569079219.0,1244940666114.0,121860300407.0,173438342389.0,367401001483.0,367401001483.0,2019,Q2,377126678123.0,
3052765629184.0,5547398610964.0,1004758692972.0,139376709072.0,1144135402044.0,388003400000.0,4403263208920.0,1394323929489.0,148151153094.0,166033833659.0,123215894392.0,123215894392.0,2019,Q3,500342572515.0,
3312479925130.0,5450577873593.0,1010690257880.0,114425185992.0,1125115443872.0,388003400000.0,4325462429721.0,1379034161150.0,154039085564.0,-76211791414.0,-53180192346.0,-53180192346.0,2019,Q4,407808643664.0,
3327208587577.0,5642525663620.0,1199191756437.0,133392709107.0,1332584465544.0,388003400000.0,4309941198076.0,1443620790033.0,111455726258.0,120174148970.0,102905013993.0,102905013993.0,2020,Q1,105169004957.0,
3355865570168.0,5450352562627.0,959527703591.0,132130149399.0,1091657852990.0,388003400000.0,4358694709637.0,1292268851544.0,35640392630.0,37618306238.0,27721705176.0,27721705176.0,2020,Q2,132890710133.0,
3297192849563.0,5727202714675.0,1157665909123.0,140941684581.0,1298607593704.0,388003400000.0,4428595120971.0,1577607316090.0,87934034436.0,86837557166.0,76424096234.0,76424096234.0,2020,Q3,209314806367.0,
3236590525460.0,5823920674506.0,1123038972816.0,96567435229.0,1219606408045.0,388003400000.0,4604314266461.0,1284302256756.0,171637496504.0,154479426763.0,150334942235.0,150334942235.0,2020,Q4,344067179186.0,
3282217382350.0,6026553985170.0,1170337417973.0,104682722080.0,1275020140053.0,388003400000.0,4751533845117.0,1436215693983.0,251152612184.0,272481605810.0,203393780083.0,203393780083.0,2021,Q1,205952131569.0,
3332465384933.0,6380810446278.0,1404706106738.0,116495351925.0,1521201458663.0,388003400000.0,4859608987615.0,1728000161695.0,157854522678.0,154833799261.0,107926605697.0,107926605697.0,2021,Q2,313878737266.0,
3348126983616.0,6950129157974.0,1672032954660.0,141990233923.0,1814023188583.0,388003400000.0,5136105969391.0,1920862136452.0,358208209243.0,392105290695.0,281888651406.0,281888651406.0,2021,Q3,595767388672.0,
3427175712744.0,6690063876824.0,1334595872310.0,80100048436.0,1414695920746.0,388003400000.0,5275367956078.0,2114641846966.0,316408725708.0,305751777706.0,216708826304.0,216708826304.0,2021,Q4,760458156783.0,
3452696413418.0,6798017916246.0,1325151703532.0,108126595997.0,1433278299529.0,388003400000.0,5364739616717.0,1987066893872.0,272900171634.0,309299029866.0,237982276040.0,237982276040.0,2022,Q1,240748530123.0,
3561705995214.0,7355187508370.0,1620447500770.0,127772095865.0,1748219596635.0,388003400000.0,5606967911735.0,1996400898304.0,254545714001.0,340206153349.0,257713501829.0,257713501829.0,2022,Q2,498462031952.0,
3633177504163.0,7980513867849.0,1898548221892.0,152029377498.0,2050577599390.0,388003400000.0,5929936268459.0,1807074150237.0,323083472614.0,451410843143.0,334851516928.0,334851516928.0,2022,Q3,833313548880.0,
3941375254869.0,7910256817172.0,1757496589058.0,366895151373.0,2124391740431.0,388003400000.0,5785865076741.0,1454452378119.0,-50834328537.0,-171113044279.0,-129189517214.0,-129189517214.0,2022,Q4,688165951503.0,
3979415481187.0,8136369387674.0,2192816110729.0,280549008621.0,2473365119350.0,388003400000.0,5663004268324.0,1510437610729.0,-2452372239.0,24322105203.0,22209056048.0,22209056048.0,2023,Q1,24683104851.0,
4187090869173.0,8304622725118.0,2132490307053.0,385665579515.0,2518155886568.0,388003400000.0,5786466838550.0,1756927950318.0,80993519842.0,115352418926.0,103061255911.0,103061255911.0,2023,Q2,127744360762.0,
4355974991749.0,8355332664541.0,2133486341520.0,357218676576.0,2490705018096.0,388003400000.0,5864627646445.0,1843772955908.0,29708489538.0,73978901841.0,62707169803.0,62707169803.0,2023,Q3,190451530565.0,78160807895.0
4404777663323.0,8289077949508.0,1966518942993.0,438564798180.0,2405083741173.0,388003400000.0,5883994208335.0,1701786667873.0,16482191043.0,17827749171.0,31839161994.0,31839161994.0,2023,Q4,211853135049.0,178760226399.0
4515274045697.0,8900140459461.0,2442566259721.0,493151421657.0,2935717681378.0,388003400000.0,5964422778083.0,1779421432269.0,96347498609.0,168942115977.0,156465335046.0,156465335046.0,2024,Q1,158496454895.0,167450584948.0
4507141211160.0,9247645938624.0,2523994947294.0,623749602260.0,3147744549554.0,388003400000.0,6099901389070.0,1959554080751.0,81167841448.0,146555277762.0,124636840989.0,124636840989.0,2024,Q2,283133295884.0,135478610987.0
4418554177871.0,9135574737729.0,2356691581786.0,635374494457.0,2992066076243.0,388003400000.0,6143508661486.0,1987604561057.0,73647880423.0,28421658943.0,34469920506.0,34469920506.0,2024,Q3,317603216390.0,43607272416.0
