비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,연도,분기,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
20433411000000.0,23146940000000.0,3491306000000.0,5876174000000.0,9367480000000.0,13418603000000.0,13779460000000.0,12556979000000.0,2015,Q4,,,,,,,
19975524000000.0,23119954000000.0,3466938000000.0,6098182000000.0,9565120000000.0,13158431000000.0,13554834000000.0,3098261000000.0,2016,Q1,429851000000.0,465674000000.0,382207000000.0,382207000000.0,,,
19621845000000.0,23181838000000.0,3370769000000.0,6008250000000.0,9379019000000.0,13431966000000.0,13802819000000.0,3091988000000.0,2016,Q2,478205000000.0,380456000000.0,284143000000.0,284143000000.0,,,
20992162000000.0,24247622000000.0,3460386000000.0,6689204000000.0,10149590000000.0,13685954000000.0,14098032000000.0,3101785000000.0,2016,Q3,,,,,,,
21787459000000.0,25448574000000.0,4464160000000.0,6727460000000.0,11191620000000.0,13902627000000.0,14256954000000.0,3058445000000.0,2016,Q4,874116000000.0,716652000000.0,550924000000.0,550924000000.0,,,
21080350000000.0,24723153000000.0,4578804000000.0,6105829000000.0,10684633000000.0,13648573000000.0,14038520000000.0,3087956000000.0,2017,Q1,439396000000.0,489633000000.0,388206000000.0,388206000000.0,,,
20947429000000.0,24405446000000.0,4284633000000.0,5706581000000.0,9991214000000.0,13954609000000.0,14414232000000.0,3109630000000.0,2017,Q2,462348000000.0,373330000000.0,314050000000.0,314050000000.0,,,
21355528000000.0,24985927000000.0,4526513000000.0,5634660000000.0,10161173000000.0,14365499000000.0,14824754000000.0,3156536000000.0,2017,Q3,420680000000.0,564197000000.0,478715000000.0,478715000000.0,44639000000.0,,
21789424000000.0,25557522000000.0,4767401000000.0,5782730000000.0,10550131000000.0,14512556000000.0,15007391000000.0,3113913000000.0,2017,Q4,375285000000.0,176648000000.0,150143000000.0,150143000000.0,44639000000.0,,
21700256000000.0,27787334000000.0,4840602000000.0,6531282000000.0,11371884000000.0,16008029000000.0,16415450000000.0,2988538000000.0,2018,Q1,369257000000.0,477476000000.0,364427000000.0,364427000000.0,44639000000.0,,
21653568000000.0,26997452000000.0,3420635000000.0,6969658000000.0,10390293000000.0,16224034000000.0,16607159000000.0,2941835000000.0,2018,Q2,368279000000.0,295941000000.0,219786000000.0,219786000000.0,44639000000.0,,
21547716000000.0,27065145000000.0,3300785000000.0,7052544000000.0,10353329000000.0,16317319000000.0,16711816000000.0,2925572000000.0,2018,Q3,310640000000.0,249926000000.0,183322000000.0,183322000000.0,44639000000.0,,
24168645000000.0,28848023000000.0,4178068000000.0,7782468000000.0,11960536000000.0,16467789000000.0,16887487000000.0,2849694000000.0,2018,Q4,259318000000.0,197901000000.0,166367000000.0,166367000000.0,44639000000.0,,
24548962000000.0,29719420000000.0,5153252000000.0,7702095000000.0,12855347000000.0,16433106000000.0,16864073000000.0,2812208000000.0,2019,Q1,305735000000.0,761632000000.0,643993000000.0,643993000000.0,44639000000.0,,
24459389000000.0,29059550000000.0,4419372000000.0,7613869000000.0,12033241000000.0,16622168000000.0,17026309000000.0,2847717000000.0,2019,Q2,275225000000.0,217578000000.0,162014000000.0,162014000000.0,44639000000.0,,
25178790000000.0,29933388000000.0,4645267000000.0,8172035000000.0,12817302000000.0,16708070000000.0,17116086000000.0,2911550000000.0,2019,Q3,252761000000.0,202966000000.0,161088000000.0,161088000000.0,44639000000.0,,
25828004000000.0,30839367000000.0,5057478000000.0,8392150000000.0,13449628000000.0,16678787000000.0,17389739000000.0,2844740000000.0,2019,Q4,116388000000.0,3314000000.0,13243000000.0,13243000000.0,44639000000.0,,
25465948000000.0,30499585000000.0,4733617000000.0,8656530000000.0,13390147000000.0,16408827000000.0,17109438000000.0,2922845000000.0,2020,Q1,257876000000.0,488548000000.0,406093000000.0,406093000000.0,44639000000.0,,
25983780000000.0,30738752000000.0,4560494000000.0,8705316000000.0,13265810000000.0,16576694000000.0,17472942000000.0,2939832000000.0,2020,Q2,270328000000.0,219997000000.0,168649000000.0,168649000000.0,44639000000.0,,
25735998000000.0,31018776000000.0,4783877000000.0,8639067000000.0,13422944000000.0,16662589000000.0,17595832000000.0,2940633000000.0,2020,Q3,264065000000.0,211298000000.0,158380000000.0,158380000000.0,44639000000.0,,
