비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,이익잉여금,총포괄손익,영업비용
19585575000000.0,24222495000000.0,5978832000000.0,7859707000000.0,13838539000000.0,10383956000000.0,16942357000000.0,863860000000.0,1010431000000.0,770324000000.0,770324000000.0,2015,Q4,,,,
18865408000000.0,23981916000000.0,5841433000000.0,7596966000000.0,13438399000000.0,10543517000000.0,4200856000000.0,287227000000.0,361450000000.0,278618000000.0,278618000000.0,2016,Q1,,,,
18574261000000.0,23590775000000.0,6053449000000.0,6794294000000.0,12847743000000.0,10743032000000.0,4203538000000.0,321944000000.0,229664000000.0,201325000000.0,201325000000.0,2016,Q2,,,,
18871011000000.0,24287414000000.0,5962080000000.0,7414483000000.0,13376563000000.0,10910851000000.0,,303216000000.0,,166494000000.0,166494000000.0,2016,Q3,,,,
19849258000000.0,24700337000000.0,6027671000000.0,7588147000000.0,13615818000000.0,11084519000000.0,8624474000000.0,147204000000.0,443482000000.0,162893000000.0,162893000000.0,2016,Q4,,,,
19175092000000.0,23677242000000.0,5636506000000.0,6855537000000.0,12492043000000.0,11185199000000.0,4161418000000.0,318923000000.0,358270000000.0,284585000000.0,284585000000.0,2017,Q1,,,,
18927123000000.0,22881310000000.0,4741899000000.0,6791536000000.0,11533435000000.0,11347875000000.0,4292582000000.0,301427000000.0,173694000000.0,160723000000.0,160723000000.0,2017,Q2,,,,
18778872000000.0,23381932000000.0,5338242000000.0,6540456000000.0,11878698000000.0,11503234000000.0,4312022000000.0,271443000000.0,225267000000.0,148013000000.0,148013000000.0,2017,Q3,1564499000000.0,9548287000000.0,,
18955355000000.0,23334923000000.0,5596667000000.0,6427178000000.0,12023845000000.0,11311078000000.0,4575294000000.0,60368000000.0,-144839000000.0,-130053000000.0,-130053000000.0,2017,Q4,1564499000000.0,9344506000000.0,,
18327125000000.0,24639781000000.0,5883176000000.0,6421076000000.0,12304252000000.0,12335529000000.0,4297158000000.0,304957000000.0,432213000000.0,316767000000.0,316767000000.0,2018,Q1,1564499000000.0,10380358000000.0,,
18111591000000.0,24378248000000.0,5927580000000.0,5925519000000.0,11853099000000.0,12525149000000.0,4283030000000.0,307657000000.0,286386000000.0,209921000000.0,209921000000.0,2018,Q2,1564499000000.0,10587321000000.0,,
17832457000000.0,24808595000000.0,5806129000000.0,6269101000000.0,12075230000000.0,12733365000000.0,4358170000000.0,280604000000.0,276378000000.0,202609000000.0,202609000000.0,2018,Q3,1564499000000.0,10788774000000.0,,
