비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익,이자수익,영업비용
1578921333000.0,3383717649000.0,739150464000.0,268850850000.0,1008001314000.0,3293691504000.0,2375716335000.0,2141274744000.0,826491298000.0,848500733000.0,642595653000.0,642595653000.0,2015,Q4,,,,
1614012329027.0,3512003016956.0,767094452948.0,274013810080.0,1041108263028.0,3430502479852.0,2470894753928.0,585662496422.0,215673136962.0,221261029580.0,168941665173.0,168941665173.0,2016,Q1,,,,
1713726700164.0,3721708999776.0,786773415981.0,279450901913.0,1066224317894.0,3614329821405.0,2655484681882.0,615622300819.0,234357522016.0,241146490185.0,183827341553.0,183827341553.0,2016,Q2,,,,
1737308004718.0,3849350675968.0,719042284712.0,284731299165.0,1003773583877.0,3806788349546.0,2845577092091.0,616505707268.0,238976518021.0,249001620404.0,192458528141.0,192458528141.0,2016,Q3,,,,
1748453838642.0,3856490673931.0,875568258127.0,271506512177.0,1147074770304.0,3925393924603.0,2709415903627.0,678707812710.0,279343730580.0,198316289561.0,106588404539.0,106588404539.0,2016,Q4,,,,
1805940773478.0,4048513253236.0,887506009686.0,272140387726.0,1159646397412.0,4105822038527.0,2888866855824.0,678909041526.0,271339474575.0,282853558794.0,213009298027.0,213009298027.0,2017,Q1,,,,
2503416273252.0,4708806616053.0,897723505080.0,266298340153.0,1164021845233.0,4317473892071.0,3544784770820.0,709482369690.0,288335667591.0,290306641526.0,211651853544.0,211651853544.0,2017,Q2,,,,
2726578425910.0,4991361216732.0,1004090261640.0,272780255478.0,1276870517118.0,4538152216708.0,3714490699614.0,746424800067.0,300659096293.0,294072316758.0,220678324637.0,220678324637.0,2017,Q3,16481339500.0,,,
2712498982568.0,5342354582361.0,1266827512521.0,141666445169.0,1408493957690.0,4733331885906.0,3933860624671.0,795845113579.0,317903234266.0,295765508722.0,204072876500.0,204072876500.0,2017,Q4,16481339500.0,,,
3045029493820.0,5484106259010.0,1408137243965.0,148279797474.0,1556417041439.0,4958329312844.0,3927689217571.0,810608965754.0,293754930681.0,282571091105.0,212287025082.0,212287025082.0,2018,Q1,16481339500.0,,,
3148443887907.0,5561799426819.0,1231146762221.0,165594876228.0,1396741638449.0,5212662965365.0,4165057788370.0,861041232794.0,310044929827.0,338679276191.0,254333652521.0,254333652521.0,2018,Q2,16481339500.0,,,
4621516527339.0,6125968045119.0,1591968410149.0,171146402038.0,1763114812187.0,5401008636485.0,4362853232932.0,855395539155.0,314848342441.0,267470433784.0,188345671120.0,188345671120.0,2018,Q3,16481339500.0,,,
4701611694177.0,5928592453256.0,1210779989603.0,160930619841.0,1371710609444.0,5655540684179.0,4556881843812.0,931968304842.0,344900750180.0,334748997376.0,245456410868.0,245456410868.0,2018,Q4,16481339500.0,,,
4997563441600.0,6358761156029.0,1471783972949.0,185936456596.0,1657720429545.0,5866774216644.0,4701040726484.0,912618127338.0,340687335754.0,354478137935.0,257173889072.0,257173889072.0,2019,Q1,16481339500.0,,,
5173832960160.0,6609015466958.0,1407383253217.0,195166077721.0,1602549330938.0,6156048222443.0,5006466136020.0,1000175886277.0,349010568452.0,357175684975.0,278935286566.0,278935286566.0,2019,Q2,16481339500.0,,,
5446104444733.0,6914851097908.0,1419144022432.0,201624064121.0,1620768086553.0,6466832783643.0,5294083011355.0,996224433926.0,342673575101.0,420888855323.0,310784330770.0,310784330770.0,2019,Q3,16481339500.0,,,
