비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익,영업비용
1177272046775.0,2101635883378.0,225123834576.0,81555879918.0,306679714494.0,1338997265387.0,1794956168884.0,616604463077.0,257250508328.0,253201665610.0,187589129416.0,187589129416.0,2015,Q4,,,
1252735947916.0,2133930604574.0,249734642839.0,234810259362.0,484544902201.0,1337043457073.0,1649385702373.0,169355405079.0,55863467256.0,74820736204.0,58597222564.0,58597222564.0,2016,Q1,,,
1190500588762.0,2124251969068.0,147574012619.0,242535756683.0,390109769302.0,1422179381555.0,1734142199766.0,177115869767.0,81263200798.0,93101958820.0,88683236397.0,88683236397.0,2016,Q2,,,
1301960015246.0,2160407833783.0,133503661635.0,245031401184.0,378535062819.0,1469696512677.0,1781872770964.0,163811146726.0,69164397584.0,60804544482.0,47144164868.0,47144164868.0,2016,Q3,,,
1258992423820.0,2277262883032.0,183894655418.0,172598813292.0,356493468710.0,1552918806186.0,1920769414322.0,233853428756.0,112862788341.0,112932574835.0,78377986352.0,78377986352.0,2016,Q4,,,
1305975618767.0,2289196723122.0,248805126580.0,178128160515.0,426933287095.0,1492779436686.0,1862263436027.0,193604437699.0,40323378802.0,26372579976.0,20646600537.0,20646600537.0,2017,Q1,,,
1705521916740.0,2692920220640.0,160780352112.0,282474458297.0,443254810409.0,1537355585443.0,2249665410231.0,210042633842.0,48837983350.0,59956916708.0,47921946575.0,47921946575.0,2017,Q2,,,
1579728252821.0,3120319855754.0,320420782975.0,272193651373.0,592614434348.0,1831788044873.0,2527705421406.0,676510404885.0,345341332299.0,382771721558.0,293375247157.0,293375247157.0,2017,Q3,10969511000.0,,
1792268424923.0,3461508054225.0,372494395946.0,335582071082.0,708076467028.0,1924094023958.0,,466478548013.0,184473392638.0,154666736555.0,109630452116.0,109630452116.0,2017,Q4,10969511000.0,,
1613362079018.0,3420131715143.0,703245517137.0,141179389801.0,844424906938.0,1898798313382.0,,428353232636.0,210331947538.0,205425055781.0,128414833392.0,128414833392.0,2018,Q1,10969511000.0,,
1641918327814.0,3268419276644.0,409148836423.0,136310286562.0,545459122985.0,2048175135759.0,,387195995505.0,171572427464.0,205082565552.0,152658201644.0,152658201644.0,2018,Q2,10969511000.0,,
1425135229174.0,2966702413790.0,360489200613.0,96701896225.0,457191096838.0,2109504154217.0,,350424313387.0,153326801584.0,108530795792.0,62241100911.0,62241100911.0,2018,Q3,10969511000.0,,
1406115463746.0,2882011624548.0,382745748412.0,77318634841.0,460064383253.0,2202120852796.0,,363939901551.0,145806128401.0,133170607122.0,95111775360.0,95111775360.0,2018,Q4,10969511000.0,,
1539109550079.0,3212152701678.0,359879797209.0,393027231910.0,752907029119.0,2179366802997.0,,320780646708.0,96366307935.0,125651866050.0,101868787993.0,101868787993.0,2019,Q1,10969511000.0,,
1491433530974.0,3111823113388.0,206279902679.0,367915552786.0,574195455465.0,2308431753904.0,,361589304567.0,147964850089.0,164197549858.0,133873629694.0,133873629694.0,2019,Q2,10973261000.0,,
1265977857337.0,3140924734843.0,202750295263.0,354838623095.0,557588918358.0,2437163514649.0,,346767144643.0,142639416553.0,168025502488.0,128810047227.0,128810047227.0,2019,Q3,10977011000.0,,
1249762778389.0,3185181620959.0,349981739942.0,332555214134.0,682536954076.0,2369748259319.0,,496730551069.0,169959692636.0,-20032188023.0,-57060780205.0,-57060780205.0,2019,Q4,10977011000.0,,
1255946402161.0,3399948830364.0,448827037298.0,353848364219.0,802675401517.0,2458758615701.0,,694135537552.0,245670940855.0,254689273490.0,195709896090.0,195709896090.0,2020,Q1,10977011000.0,,
1348845537947.0,3483326635664.0,310039623610.0,389453840321.0,699493463931.0,2613531159709.0,,195709896090.0,225330506809.0,220547517840.0,162317206224.0,162317206224.0,2020,Q2,10977011000.0,,
1757716778535.0,4061831087958.0,361738384521.0,467401500741.0,829139885262.0,2780925005336.0,,536230859456.0,227483792071.0,226603493006.0,167210474302.0,167210474302.0,2020,Q3,10977011000.0,,
1670792777921.0,3972964830906.0,402711109368.0,385120841766.0,787831951134.0,2885135625012.0,,816354643462.0,170053578092.0,139407431358.0,102285977583.0,102285977583.0,2020,Q4,10977011000.0,,
1895100907355.0,4206560925890.0,694153022215.0,432142869264.0,1126295891479.0,2788940251668.0,,472809838972.0,61527705898.0,93945982705.0,77643604010.0,77643604010.0,2021,Q1,10977011000.0,,
2016137968429.0,4025839062415.0,416965154221.0,442570706935.0,859535861156.0,2853673451366.0,,494934150122.0,95045658247.0,107760974079.0,84018045987.0,84018045987.0,2021,Q2,10977011000.0,,
2046391668003.0,4361741074478.0,437416385800.0,775782493670.0,1213198879470.0,2944736992884.0,,452345153241.0,82101544556.0,116029621346.0,90635104009.0,90635104009.0,2021,Q3,10977011000.0,,
2201766909492.0,4489052527960.0,598679148126.0,739289195870.0,1337968343996.0,3054555304233.0,,709237810384.0,100437417697.0,128810335488.0,100085476452.0,100085476452.0,2021,Q4,10977011000.0,,
2020101999381.0,4368843365600.0,482450757741.0,736441107233.0,1218891864974.0,3114550678900.0,,753141255761.0,247951661649.0,242568088957.0,176971794584.0,176971794584.0,2022,Q1,10977011000.0,,
1719413505838.0,4163452448765.0,365440130362.0,687523299198.0,1052963429560.0,3258486846112.0,,584221523139.0,123309843228.0,176712742584.0,136092133955.0,136092133955.0,2022,Q2,10977011000.0,,
1703572272189.0,4348685975900.0,428234166358.0,682863215603.0,1111097381961.0,3455260824608.0,3237588593939.0,559683855980.0,151985605722.0,255493538124.0,189035755782.0,189035755782.0,2022,Q3,10977011000.0,,
1819876039093.0,4341399984062.0,434041948852.0,683290139545.0,1117332088397.0,3414429630684.0,3224067895665.0,504520671167.0,52739527536.0,-48083419264.0,-43824390579.0,-43824390579.0,2022,Q4,10977011000.0,,
1898275354519.0,4352351282759.0,568018725463.0,568808133664.0,1136826859127.0,3374290295959.0,3215524423632.0,432580688836.0,77331712694.0,137372587275.0,109435845774.0,109435845774.0,2023,Q1,10977011000.0,,
2020210001080.0,4256927981024.0,460958552283.0,630430516195.0,1091389068478.0,3403193092294.0,3165538912546.0,402552869512.0,34022898994.0,34116704468.0,27142942540.0,27142942540.0,2023,Q2,10977011000.0,,
2037593954051.0,4239066357955.0,569089778896.0,487655140145.0,1056744919041.0,3452477940861.0,3182321438914.0,379659695959.0,13184703134.0,44531241974.0,45624010907.0,45624010907.0,2023,Q3,10977011000.0,16782526368.0,
2152265681184.0,4302844289114.0,552561635180.0,481830897748.0,1034392532928.0,3468620950391.0,3268451756186.0,400050790413.0,2420174846.0,-24428341652.0,20370161951.0,20370161951.0,2023,Q4,10977011000.0,163255026673.0,1487884555052.0
2262308823201.0,4207838576565.0,438746934576.0,480180898638.0,918927833214.0,3471693405394.0,3288910743351.0,362138728323.0,23896487731.0,83539901591.0,63601422671.0,63601422671.0,2024,Q1,10977011000.0,84021271235.0,338242240592.0
