비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,자본금,총포괄손익
2164354577403.0,2952552620792.0,764403593564.0,726437070604.0,1490840664168.0,1345541443769.0,1461711956624.0,3031336329599.0,463098878490.0,428979090481.0,305961028812.0,305961028812.0,2015,Q4,,
2164873016358.0,2931980869310.0,658580327444.0,732936545307.0,1391516872751.0,1423811845744.0,1540463996559.0,943357943354.0,181900072268.0,210785576618.0,170497620579.0,170497620579.0,2016,Q1,,
2205481557144.0,2927376244427.0,709008005496.0,560951176682.0,1269959182178.0,1540338729494.0,1657417062249.0,928531355380.0,164690805972.0,151336276870.0,116753769226.0,116753769226.0,2016,Q2,,
2228014117917.0,3090126500870.0,712485836213.0,565548515962.0,1278034352175.0,1695345302229.0,1812092148695.0,935917619424.0,181081775109.0,174798608785.0,155030817560.0,155030817560.0,2016,Q3,,
2316391201480.0,3089904898273.0,674497928821.0,539545501803.0,1214043430624.0,1759569535338.0,1875861467649.0,853145909175.0,126488715823.0,80435269999.0,66877365029.0,66877365029.0,2016,Q4,,
2352523941108.0,3357925435534.0,1153806571236.0,280732170706.0,1434538741942.0,1807407480245.0,1923386693592.0,994317665807.0,198906098329.0,227287853889.0,173786267067.0,173786267067.0,2017,Q1,,
2384972538816.0,3176377742049.0,776664004179.0,287461526751.0,1064125530930.0,1995872362330.0,2112252211119.0,898836065585.0,160884115157.0,223844828697.0,188506327336.0,188506327336.0,2017,Q2,,
2436449619212.0,3345055817181.0,769536733097.0,294261992644.0,1063798725741.0,2164664628350.0,2281257091440.0,975232722939.0,194990043261.0,210851402102.0,169273845430.0,169273845430.0,2017,Q3,88589470000.0,
2534839588065.0,3485163640049.0,849774781690.0,275645318887.0,1125420100577.0,2243399809065.0,2359743539472.0,916057824743.0,141819276565.0,105431402371.0,64092470355.0,64092470355.0,2017,Q4,88589470000.0,
2636883032724.0,3539677133755.0,815815195216.0,291195559683.0,1107010754899.0,2317145076185.0,2432666378856.0,1023141412942.0,208298607107.0,289675680939.0,225885461227.0,225885461227.0,2018,Q1,88589470000.0,
2654905238879.0,3495892637331.0,791768053152.0,146821322111.0,938589375263.0,2442075193669.0,2557303262068.0,969119914991.0,177998105332.0,167423664116.0,125268424128.0,125268424128.0,2018,Q2,88589470000.0,
2680210174437.0,3654481504205.0,794284631100.0,152746168904.0,947030800004.0,2592499334306.0,2707450704201.0,1050094357514.0,207316339565.0,201330664860.0,150473350739.0,150473350739.0,2018,Q3,88589470000.0,
2742885339326.0,3687211659758.0,759176531069.0,119551158138.0,878727689207.0,2693293687104.0,2808483970551.0,1017802268205.0,167768113992.0,154096738327.0,104221396251.0,104221396251.0,2018,Q4,88589470000.0,
2812143211524.0,3957674753195.0,1089699277019.0,39394121601.0,1129093398620.0,2714747605787.0,2828581354575.0,1159205314136.0,230451466800.0,236927677061.0,175812232822.0,175812232822.0,2019,Q1,88589470000.0,
2826893909435.0,3818120223273.0,793872492706.0,38435729590.0,832308222296.0,2871262926554.0,2985812000977.0,1088988378036.0,206607533378.0,207487708490.0,157453957491.0,157453957491.0,2019,Q2,88589470000.0,
3014440588664.0,4000559503170.0,813430483282.0,32348467117.0,845778950399.0,3040282099046.0,3154780552771.0,1183756685278.0,234065942727.0,230681461111.0,169081318736.0,169081318736.0,2019,Q3,88589470000.0,
3083981160646.0,4093775064826.0,793017321664.0,36390837960.0,829408159624.0,3151083532133.0,3264366905202.0,1105025366644.0,188233476090.0,166513794007.0,120520211313.0,120520211313.0,2019,Q4,88589470000.0,
3172863881880.0,4175263884908.0,853631711928.0,37141063484.0,890772775412.0,3171410547790.0,3284491109496.0,1149146607945.0,261776312555.0,269612587164.0,204492729247.0,204492729247.0,2020,Q1,88589470000.0,
3422817919987.0,4288230473756.0,739613804922.0,46721071093.0,786334876015.0,3388285890607.0,3501895597741.0,945519482037.0,167279823676.0,273027337858.0,217202673688.0,217202673688.0,2020,Q2,88589470000.0,
3460483953846.0,4424766060175.0,710887581956.0,56821851668.0,767709433624.0,3543596823468.0,3657056626551.0,1227658605091.0,218662246145.0,211679976545.0,155240164860.0,155240164860.0,2020,Q3,88589470000.0,
3668005592455.0,4560931341806.0,670223104611.0,97233743354.0,767456847965.0,3585018822334.0,3793474493841.0,1095932297369.0,137890892465.0,92858819210.0,41503203647.0,41503203647.0,2020,Q4,88589470000.0,
3682983356974.0,4786032979021.0,888457066179.0,89636683172.0,978093749351.0,3599486857281.0,3807939229670.0,1298992865573.0,274812612225.0,269033933734.0,199076116850.0,199076116850.0,2021,Q1,88589470000.0,
3633012154655.0,4739716666440.0,719277136634.0,44038587024.0,763315723658.0,3767954068923.0,3976400942782.0,1241360690295.0,243294661114.0,223205284907.0,168678897403.0,168678897403.0,2021,Q2,88589470000.0,
3867764943933.0,5097243775793.0,756204243127.0,136294335115.0,892498578242.0,3996187253395.0,4204745197551.0,1359088574402.0,319438309431.0,309893977174.0,228456214748.0,228456214748.0,2021,Q3,88589470000.0,
3858726355527.0,5112381321495.0,765934210986.0,125133050997.0,891067261983.0,4013008049932.0,4221314059512.0,1056705451835.0,142498674515.0,43069787391.0,11024856783.0,11024856783.0,2021,Q4,88589470000.0,
3856372842072.0,5047137680919.0,797616459866.0,145984741726.0,943601201592.0,3895198664586.0,4103536479327.0,903354204929.0,112504032908.0,111046475019.0,83692766866.0,83692766866.0,2022,Q1,88589470000.0,
4074946846154.0,5083264653459.0,694613485033.0,207418040066.0,902031525099.0,3972946859915.0,4181233128360.0,1023347884034.0,136099202468.0,127773039720.0,78087454045.0,78087454045.0,2022,Q2,88589470000.0,
4066277882368.0,5112510172422.0,643371653146.0,204575363958.0,847947017104.0,4056273596684.0,4264563155318.0,994893452549.0,117728549460.0,111141010879.0,83678950411.0,83678950411.0,2022,Q3,88589470000.0,
3846244904972.0,4707323719826.0,408371683501.0,170859009345.0,579230692846.0,3919984344222.0,4128093026980.0,861725870570.0,61945081387.0,-184040450011.0,-168508325901.0,-168508325901.0,2022,Q4,88589470000.0,
3826396675655.0,5113422404557.0,528790607240.0,174763578542.0,703554185782.0,4201711031100.0,4409868218775.0,881761108568.0,59433013881.0,360671214424.0,348628979784.0,348628979784.0,2023,Q1,88589470000.0,
3823344752974.0,5108336703095.0,479731979416.0,164739034788.0,644471014204.0,4255817637279.0,4463865688891.0,925627329331.0,71652389813.0,69355305326.0,53913710687.0,53913710687.0,2023,Q2,88589470000.0,
3828547246297.0,5237675970677.0,551499510262.0,159782489064.0,711281999326.0,4318297414822.0,4526393971351.0,949332725290.0,78114649559.0,82778081275.0,62326512716.0,62326512716.0,2023,Q3,88589470000.0,62528282460.0
3849636283487.0,5057410286789.0,458339609527.0,160915607860.0,619255217387.0,4230099989196.0,4438155069402.0,743492499184.0,7916664916.0,-89685762231.0,-75159895223.0,-75159895223.0,2023,Q4,88589470000.0,314662748912.0
3836853469350.0,5171445996943.0,571506025378.0,161751378133.0,733257403511.0,4230150620424.0,4438188593432.0,909688467227.0,60632180223.0,73789314374.0,59201962197.0,59201962197.0,2024,Q1,88589470000.0,58784490980.0
3822971245251.0,5215542854120.0,551330700614.0,155911782010.0,707242482624.0,4300308017681.0,4508300371496.0,939855689084.0,95847894987.0,93740041113.0,70425099533.0,70425099533.0,2024,Q2,88589470000.0,70111778064.0
3810013039608.0,5292926390358.0,574823432889.0,151237718453.0,726061151342.0,4358867182802.0,4566865239016.0,945331432676.0,78696326057.0,77808176815.0,58831158828.0,58831158828.0,2024,Q3,88589470000.0,58564867520.0
