비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,매출액,총포괄손익,영업비용
722442058962.0,2218657650295.0,500312909551.0,158153388130.0,658466297681.0,4327407000.0,-612915232592.0,1560191352614.0,182067936053.0,177627299611.0,143320332787.0,143320332787.0,2021,Q2,,,
848932658351.0,5207186351896.0,510324068825.0,183692336699.0,694016405524.0,4895144500.0,-431952730654.0,4513169946372.0,217703461404.0,272988201580.0,180962501938.0,180962501938.0,2021,Q3,,,
2014166066690.0,5481054422377.0,550906672999.0,338068561127.0,888975234126.0,4896704500.0,-409617572037.0,4592079188251.0,296604048353.0,328860648329.0,217919416698.0,217919416698.0,2021,Q4,,,
2103421445203.0,5585444857354.0,447817616047.0,333401342254.0,781218958301.0,4907204500.0,2233852405391.0,4804225899053.0,292962135660.0,316829573927.0,233852405391.0,233852405391.0,2022,Q1,,,
2134343387084.0,5688653518082.0,365763982598.0,353291896734.0,719055879332.0,4907204500.0,2422968601307.0,4969597638750.0,152523116859.0,250661788568.0,189116195916.0,189116195916.0,2022,Q2,,,
2257636607834.0,5957755167182.0,394533831816.0,358029159452.0,752562991268.0,4907204500.0,2656882914915.0,5205192175914.0,144282335839.0,318144128262.0,233914313608.0,233914313608.0,2022,Q3,,,
2121458161154.0,5774465579876.0,332677568406.0,399483744597.0,732161313003.0,4908154500.0,2487142607927.0,5042304266873.0,148054324728.0,-219381886024.0,-169740306988.0,-169740306988.0,2022,Q4,,,
2223716654919.0,6046756126679.0,332254755320.0,402697184764.0,734951940084.0,4923729000.0,2773023956895.0,5311804186595.0,293869137879.0,382377931804.0,285881348968.0,285881348968.0,2023,Q1,,,
2413418717703.0,6147935550875.0,427592622801.0,413228004117.0,840820626918.0,4923729000.0,2750853724192.0,5307114923957.0,144632243172.0,176445344804.0,145817844267.0,145817844267.0,2023,Q2,,,
2481548251128.0,6390586758759.0,465583868397.0,405083366829.0,870667235226.0,4923729000.0,2970452693944.0,5519919523533.0,200580349918.0,289551798344.0,219598969752.0,219598969752.0,2023,Q3,432373445510.0,207280946056.0,231793095592.0
2637208558662.0,6334072046920.0,488122995566.0,253912763868.0,742035759434.0,4923729000.0,3047231712239.0,5592036287486.0,172538631183.0,125695565881.0,76779018295.0,76779018295.0,2023,Q4,1406072219792.0,500385199035.0,795032207558.0
2744076955251.0,6780414917412.0,602968203595.0,243555151218.0,846523354813.0,4923904000.0,3408018388748.0,5933891562599.0,321603600274.0,483423939867.0,360786676509.0,360786676509.0,2024,Q1,647652599291.0,354620394598.0,326048999017.0
2849194900155.0,6993535153109.0,653005148648.0,241800504331.0,894805652979.0,4924149000.0,3643994936769.0,6098729500130.0,337365246511.0,469168937906.0,355556400955.0,355556400955.0,2024,Q2,690419414071.0,351721064757.0,353054167560.0
2975490552426.0,7168534454972.0,606073738673.0,239513610916.0,845587349589.0,4924924000.0,3786656445309.0,6322947105383.0,334071297893.0,214776673832.0,142661508540.0,142661508540.0,2024,Q3,703696636069.0,135315987843.0,369625338176.0
