비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),연도,분기,총포괄손익,매출액,영업비용
400928352641.0,2704763816673.0,845177575710.0,118335007617.0,963512583327.0,65941540000.0,-209320837571.0,1741251233346.0,-401327820.0,-2416166283.0,-10731217823.0,-10731217823.0,2021,Q4,,,
413080687774.0,2630276396840.0,747092844281.0,118580894040.0,865673738321.0,66219345500.0,-188691342429.0,1764602658519.0,14236408040.0,20629495142.0,20629495142.0,20629495142.0,2022,Q1,,,
402828568500.0,2657550119502.0,773854381350.0,101757423362.0,875611804712.0,66264460000.0,-171752396870.0,1781938314790.0,8755280590.0,16938945559.0,16938945559.0,16938945559.0,2022,Q2,,,
406070909062.0,2699644206181.0,798449103618.0,101530559073.0,899979662691.0,66341198500.0,-155526983981.0,1799664543490.0,10192813115.0,16225412889.0,16225412889.0,16225412889.0,2022,Q3,,,
624563115323.0,2896844433923.0,874358965026.0,98805110658.0,973164075684.0,66501413500.0,-111659696325.0,1923680358239.0,23052507.0,7804545515.0,42547962176.0,42547962176.0,2022,Q4,,,
617267689257.0,2863318811324.0,811965664476.0,97646734125.0,909612398601.0,66952484500.0,-91454181901.0,1953706412723.0,8382111374.0,23284040576.0,20205514424.0,20205514424.0,2023,Q1,,,
716708894078.0,3002891719902.0,854098351499.0,98190956352.0,952289307851.0,67023972000.0,-75232767237.0,2050602412051.0,10119094584.0,22954507776.0,16221414664.0,16221414664.0,2023,Q2,,,
855021619210.0,3321788744675.0,1156623862718.0,99374064283.0,1255997927001.0,67057578000.0,-59118414051.0,2065790817674.0,12028916363.0,19400398446.0,16114353186.0,16114353186.0,2023,Q3,16111665513.0,,
891450508013.0,3287179571323.0,1109566542953.0,96365680692.0,1205932223645.0,67132533000.0,-45556651318.0,2081247347678.0,2298011503.0,17630135865.0,13561762733.0,13561762733.0,2023,Q4,47576348279.0,555634950638.0,522806816814.0
877338892894.0,3298024337834.0,1102334378004.0,94958057813.0,1197292435817.0,67235009000.0,-24320352654.0,2100731902017.0,11849190054.0,24523335517.0,21236298664.0,21236298664.0,2024,Q1,21288571052.0,147805948726.0,135956758672.0
865721913136.0,3364422395524.0,1149433093172.0,94087009335.0,1243520102507.0,67280493000.0,-5042724006.0,2120902293017.0,11297816962.0,26675573590.0,19277628648.0,19277628648.0,2024,Q2,19275774983.0,154176660999.0,142878844037.0
860319278495.0,3351609728783.0,1146687248440.0,93026832127.0,1239714080567.0,67307993000.0,-14565877193.0,2111895648216.0,9390822804.0,-9838984119.0,-9523153187.0,-9523153187.0,2024,Q3,-9511161155.0,156079792904.0,146688970100.0
