연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,영업비용
2016,Q1,-0.036770276083290865,-0.009932048701011165,-0.022980909983756015,-0.03342885428171816,-0.028914902071671023,0.015366109024344876,-0.7520500837044102,-0.6675074664876253,-0.6422813631014883,-0.638310632928482,-0.638310632928482,-0.0723057914875691,-0.0029703270287473327,0.06921578463400335,0.08137214195730347
2016,Q2,-0.01543284937171785,-0.01630983112441886,0.036295203591310665,-0.10565691619522843,-0.043952854800635155,0.018923002637544872,0.0006384413081523821,0.12086955613504302,-0.36460367962373774,-0.2774156730720916,-0.2774156730720916,-0.018631391417308296,-0.018063701300247148,-0.013359452548048933,-0.01149733228656269
2016,Q3,0.015976409505605638,0.02953014472818305,-0.01509370938782173,0.09128086008641967,0.041160536912981494,0.015621195208205707,0.08894901723787285,-0.05817160748453143,0.1661877014070896,-0.1730088165900906,-0.1730088165900906,0.028451482689832996,0.0265630101206491,0.022567896821725997,0.021336886916729414
2016,Q4,0.051838611084483066,0.017001521858193813,0.011001361940799148,0.02342226693351379,0.017886134128774378,0.015916998591585463,0.8841266486776558,-0.5145242995092607,0.6558256879974687,-0.021628407029682717,-0.021628407029682717,0.04411592723682767,0.021331839419508114,0.005003969879468828,0.003631328591812144
2017,Q1,-0.03396429226724751,-0.04142028507546269,-0.0648948822853802,-0.09654662725959318,-0.08253451977692416,0.0090829381049371,-0.5174873273430936,1.1665375940871172,-0.19214308585241335,0.7470670931224792,0.7470670931224792,-0.060758656137547606,-0.03695751551278448,-0.009122709181517585,-0.003295524488559076
2017,Q2,-0.012931828436598902,-0.033615908474475154,-0.15871658790037657,-0.009335665462822273,-0.07673748801537106,0.014543862831586596,0.031519063934456915,-0.05485963696566254,-0.5151868702375304,-0.43523727533074474,-0.43523727533074474,-0.029988220875405425,-0.030302358795996853,-0.02038012970605918,-0.016158445242619
2017,Q3,-0.007832727668119488,0.021879079475781715,0.1257603757481971,-0.03696954562266919,0.029935834380650617,0.013690580835618915,0.004528742840556044,-0.09947350436424074,0.29691871912674017,-0.07908015654262301,-0.07908015654262301,0.23091149364849528,0.02761630889944411,0.01068517135691116,0.008778607196457955
2017,Q4,0.00939795531914811,-0.0020104839925118023,0.04841013202473765,-0.01731958750276741,0.012219100106762637,-0.01670451978982601,0.06105534712021421,-0.7776034010823635,-1.6429659026843701,-1.8786593069527675,-1.8786593069527675,0.0,-0.021342152786148927,-0.0015150591962976856,-0.001648898199267279
2018,Q1,-0.03314261326152956,0.055918676054769856,0.05119279028035795,-0.0009494057889792851,0.02332090940959408,0.0905705892930806,-0.06079084753897779,4.051633315663928,-3.984092682219568,-3.4356762243085512,-3.4356762243085512,0.0,0.11085144575860939,0.03415061708713196,0.03244914750380046
2018,Q2,-0.011760382493162469,-0.010614258300428836,0.007547623936458914,-0.07717662896374378,-0.036666430433967,0.015371857988417004,-0.0032877543716102187,0.008853707243972053,-0.3373961449563063,-0.3373015497195099,-0.3373015497195099,0.0,0.019937944336794633,-0.004700023926060504,-0.0026845248216259554
2018,Q3,-0.015411898380434885,0.01765290926566987,-0.020489137219573572,0.057983444150630614,0.018740331115094877,0.016623834175545582,0.017543654842482992,-0.08793234023604213,-0.034945842324694665,-0.034832151142572654,-0.034832151142572654,0.0,0.01902775971371784,0.007958031811822863,0.007026769608860173
2018,Q4,0.07384456331508327,0.04846348614260498,0.017631024043730292,0.17890603453350007,0.1013602225382042,-0.0016992366118461222,0.013769311431174103,-0.791856138900372,-1.3954764851037347,-1.8295436036898658,-1.8295436036898658,0.0,-0.004516917306822799,0.04910257461503864,0.04753548822849907
2019,Q1,0.019902307589833468,0.03178766629659102,0.06351615309274083,0.05753772893188058,0.06019379543607872,0.0020687981995839433,-0.01898859235897865,4.075591548813478,-4.633845984940669,-2.7411184425814974,-2.7411184425814974,0.0,0.00015688951681935848,0.019287106803725917,0.015629221080573075
2019,Q2,0.01930236766247817,0.004549415725591199,-0.007168612787649242,0.002793783562890395,-0.0016461336144172334,0.011407262004332619,0.05173726502462683,-0.3552395891312048,-0.5232021511494702,-0.5225554017803749,-0.5225554017803749,0.0,0.012895040061993823,0.010961439399040485,0.012348368515871178
2019,Q3,0.010426582898758419,0.004323469719465622,0.03724712826444332,-0.02383716776221778,0.0032355353207218496,0.005512160984441072,0.032289809341963016,0.0344937636028797,-0.4814496029063873,-0.4819241752972079,-0.4819241752972079,0.0,0.006679263200211949,0.005935132304725643,0.0061988389785172515
